Timestamp,Shipping Country,Product Category,Product Name,Rating,Review Content,Fulfillment Status,Order Value
2024-08-31,Canada,Kitchen,Electric Mixer,3,"It's okay, the Electric Mixer does the job but quality could be better.",Canceled,114.5
2025-05-15,USA,Clothing,Cotton T-Shirt,5,"Highly satisfied, the Cotton T-Shirt works even better than advertised.",Pending,134.17
2024-12-05,Australia,Home,Ceiling Fan,4,"Loved the color and style of the Ceiling Fan, perfect buy.",Pending,104.21
2024-09-26,UK,Home,Rice Cooker,3,"Mediocre experience overall, the Rice Cooker is serviceable.",Pending,122.61
2025-02-27,Canada,Sports,Tennis Racket,3,The Tennis Racket is fine but not worth the price in my opinion.,Fulfilled,244.74
2025-04-29,Canada,Sports,Basketball,3,"It's usable, but the Basketball could have been more comfortable.",Fulfilled,90.53
2024-10-24,USA,Kitchen,Non-Stick Frying Pan,5,Great Non-Stick Frying Pan! Exactly as described and worth every penny.,Canceled,190.0
2024-10-19,UK,Beauty,Perfume,1,"Worst experience ever, the Perfume is a scam.",Canceled,178.68
2024-09-12,Canada,Electronics,Gaming Mouse,5,Great Gaming Mouse! Exactly as described and worth every penny.,Canceled,80.07
2024-08-28,USA,Shoes,Flip Flops,1,"Size issue with the Flip Flops, totally unusable.",Fulfilled,77.1
2024-11-27,USA,Accessories,Wallet,5,A premium Wallet with impressive performance.,Canceled,468.25
2025-07-29,UK,Electronics,Noise Cancelling Headphones,5,Great Noise Cancelling Headphones! Exactly as described and worth every penny.,Fulfilled,49.84
2025-05-23,USA,Shoes,Sandals,5,"The Sandals exceeded my expectations, will definitely buy again!",Pending,116.21
2025-02-22,Canada,Shoes,Formal Shoes,4,"The Formal Shoes came earlier than expected, amazing service.",Pending,281.82
2024-10-27,UK,Accessories,Sunglasses,1,"Received the wrong Sunglasses, very disappointed.",Pending,32.46
2024-11-09,UK,Sports,Dumbbells,2,"Terrible quality Dumbbells, felt like a waste of money.",Canceled,283.53
2024-09-17,Canada,Home,Blender,3,"The Blender is decent, not too bad but nothing extraordinary.",Pending,114.86
